category,Hue,Saturation,Value
forest,52.9001,100.9722,41.3163
forest,37.4374,156.3807,68.1375
forest,33.6027,152.4082,60.8709
forest,48.1203,146.2091,40.138
forest,44.5729,186.3651,51.0975
forest,35.5717,184.607,61.7714
forest,44.6265,151.6586,47.0807
forest,34.5076,166.933,35.881
forest,46.152,148.9205,57.0375
forest,51.3247,96.0229,38.705
forest,33.8575,156.677,58.5279
forest,42.7231,153.9999,66.4817
forest,51.7564,100.0673,40.1114
forest,41.505,153.3706,50.1421
forest,40.3991,136.5376,59.4445
forest,59.734,117.8263,47.7736
forest,37.9847,144.2304,57.0807
forest,44.2746,158.5487,60.7898
forest,42.362,155.0797,52.3834
forest,43.2565,180.8884,46.5734
forest,34.4466,148.7703,85.3995
forest,44.2081,133.8638,50.6141
forest,36.0824,159.8385,75.6803
forest,54.47,95.347,44.3082
forest,45.3072,163.2,39.6372
forest,40.9909,190.98,59.2113
forest,48.6457,117.3088,43.964
forest,44.9355,153.4872,45.1187
forest,40.269,200.5411,62.6618
forest,36.7374,184.3938,71.9142
forest,37.7186,158.8382,52.705
forest,37.1104,148.116,58.3045
forest,47.582,126.7121,47.6402
forest,38.2893,153.2216,74.1696
forest,33.3611,174.6899,73.1306
forest,55.622,115.96,45.5475
forest,59.1333,85.0582,41.2403
forest,34.5952,167.8837,69.8618
forest,58.661,93.3584,40.7565
forest,55.8808,99.1978,56.4185
forest,39.93,125.2535,60.704
forest,35.2852,159.133,71.4795
forest,38.9314,142.4637,41.0104
forest,44.5041,160.0734,66.3122
forest,44.2961,149.842,69.9283
forest,54.5886,99.6555,46.7402
forest,53.2955,118.6408,40.813
forest,49.7337,130.0195,53.0245
forest,43.3193,156.0501,46.8743
forest,42.7471,164.8185,57.4317
forest,40.881,165.5253,51.6383
forest,43.8807,159.132,57.4033
forest,42.3025,167.5801,64.9896
forest,53.0858,128.7244,46.514
forest,45.0976,147.7906,54.9265
forest,36.7123,178.7433,28.5967
forest,36.0767,153.6018,53.2387
forest,39.7392,195.5895,65.9426
forest,30.4355,178.8686,59.8947
forest,44.9977,163.7297,39.6278
forest,41.6723,171.187,62.9774
forest,43.2642,132.8594,41.5859
forest,56.2933,146.5036,50.8129
forest,46.3444,136.4474,61.0356
forest,37.7698,164.8534,48.6427
forest,41.126,183.1551,69.5618
forest,40.1615,121.1595,52.4294
forest,41.8202,109.6977,51.982
forest,34.4575,166.021,79.2924
forest,38.1525,163.0999,49.8451
forest,43.1517,129.4403,38.7486
forest,50.0959,109.4316,63.4244
forest,43.9731,174.1026,43.5945
forest,27.8865,196.4594,70.1122
forest,37.8709,143.2869,78.6829
forest,41.0609,133.2306,46.1538
forest,45.5187,157.7825,61.862
forest,43.1437,137.8651,45.8187
forest,47.411,122.438,42.0725
forest,42.5178,155.8802,47.2561
forest,47.639,140.168,45.2897
forest,46.4187,135.9901,42.5973
forest,52.5161,103.0673,42.1657
forest,41.8021,169.0167,47.4774
forest,57.906,89.1927,41.7638
forest,54.7674,100.3065,46.023
forest,37.5228,185.2699,49.1912
forest,48.4674,122.6678,57.0387
forest,43.1648,174.6068,67.8772
forest,45.5548,137.0707,60.3251
forest,67.6159,85.2057,50.9404
